"nrAuthors","year","Flesch","NDC","n"
"2",1943,22.8642854873389,11.9625,36
"2",1944,20.0212756677524,11.9688095238095,42
"2",1945,22.7033952959211,11.6710526315789,57
"2",1946,16.88546194254,12.368,40
"2",1947,19.7706326214167,12.0004761904762,42
"2",1948,21.9519834374438,12.0733333333333,48
"2",1949,22.2848270810404,12.213829787234,47
"2",1950,21.2925733702222,12.07,45
"2",1951,22.5793277847655,11.928275862069,29
"2",1952,21.0507253011842,12.18,38
"2",1953,20.4775100909244,11.9824390243902,41
"2",1954,21.4653333917105,12.1484210526316,38
"2",1955,19.9964319422386,12.2095454545455,44
"2",1956,17.4558780995745,12.2564705882353,51
"2",1957,12.7767096770673,12.5428571428571,49
"2",1958,17.0198952740107,12.3638666666667,75
"2",1959,18.3598068727438,12.2559701492537,201
"2",1960,17.7546688370089,12.3101327433628,226
"2",1961,19.0630605369663,12.3417269076305,249
"2",1962,18.6306867723573,12.3464157706093,279
"2",1963,19.5057823718019,12.3532,425
"2",1964,17.2289413938293,12.4113842975207,484
"2",1965,17.0846725674808,12.4480089485459,447
"2",1966,17.3353306405922,12.4333532934132,501
"2",1967,17.2371761150022,12.4471214642263,601
"2",1968,15.9004844252699,12.4657098283931,641
"2",1969,16.5042596753075,12.4138276553106,998
"2",1970,17.7929930858477,12.3925788497217,1078
"2",1971,15.0734067736594,12.4859183673469,980
"2",1972,15.5347586868411,12.5307471264368,1044
"2",1973,15.4911481895382,12.4997988505747,1044
"2",1974,15.9987975808372,12.5430671506352,1102
"2",1975,16.1871073922713,12.4643501048218,1908
"2",1976,15.6135813934765,12.4881711065574,1952
"2",1977,15.8513531195062,12.507680798005,2005
"2",1978,15.7105144503888,12.5056375183195,2047
"2",1979,15.7367293000169,12.4994388001935,2067
"2",1980,15.0211789148466,12.5353819742489,2330
"2",1981,15.7585693250035,12.5555153707052,2212
"2",1982,15.8114143493206,12.5624403312226,2053
"2",1983,15.0171181372571,12.5720613656007,2314
"2",1984,15.7610632805317,12.5433781439722,2306
"2",1985,15.399177043816,12.5668845315904,2295
"2",1986,16.2997179112975,12.5170013568521,2211
"2",1987,15.7510993948563,12.5302658227848,2370
"2",1988,16.3711994597777,12.5142268907563,2380
"2",1989,15.56024321356,12.5815551020408,2450
"2",1990,15.4786645703678,12.5842912172573,2596
"2",1991,14.8979607540581,12.6279243119266,2616
"2",1992,15.0764601734564,12.6028370144707,2626
"2",1993,14.8063448752947,12.6385999232835,2607
"2",1994,15.1159098778975,12.6053657644477,2734
"2",1995,15.0253024098821,12.6445508537491,2694
"2",1996,13.9904946662654,12.6872600220669,2719
"2",1997,13.9770356217252,12.6673651376147,2725
"2",1998,14.2519560942689,12.6608117326057,2932
"2",1999,14.0075390330761,12.6770013297872,3008
"2",2000,14.5405768552151,12.6435421166307,3241
"2",2001,13.927839876791,12.6587260536398,3132
"2",2002,13.6144056268851,12.6945325077399,3230
"2",2003,13.4726231651284,12.7350200555384,3241
"2",2004,12.6880570412628,12.7546243990385,3328
"2",2005,12.383208251239,12.7758141619361,3347
"2",2006,11.9654062864001,12.8012991656734,3356
"2",2007,12.1111334618442,12.7980126467931,3321
"2",2008,11.8144929014572,12.8267462957363,3307
"2",2009,11.5228375492729,12.8564906927067,3277
"2",2010,10.7851503363371,12.8720416,3125
"2",2011,10.533671870561,12.8929983079526,2955
